timestamp,open_price,high_price,low_price,close_price,volume
2025-06-22 17:00:00,1.1379,1.1667,1.1335,1.1635,2965175
2025-06-22 18:00:00,1.1634,1.1686,1.1443,1.1478,1791938
2025-06-22 19:00:00,1.1477,1.1496,1.1307,1.1363,1391575
2025-06-22 20:00:00,1.1361,1.1536,1.1016,1.1471,4829050
2025-06-22 21:00:00,1.1471,1.1550,1.1260,1.1292,1524478
2025-06-22 22:00:00,1.1293,1.1590,1.1290,1.1549,2543166
2025-06-22 23:00:00,1.1549,1.1589,1.1479,1.1568,1024165
2025-06-23 00:00:00,1.1569,1.1748,1.1549,1.1641,2045542
2025-06-23 01:00:00,1.1642,1.1739,1.1559,1.1729,1102484
2025-06-23 02:00:00,1.1727,1.1752,1.1640,1.1676,1034517
2025-06-23 03:00:00,1.1676,1.1749,1.1664,1.1743,937968
2025-06-23 04:00:00,1.1744,1.1918,1.1740,1.1907,1503367
2025-06-23 05:00:00,1.1908,1.2071,1.1882,1.2056,1700037
2025-06-23 06:00:00,1.2056,1.2086,1.1921,1.2040,1422758
2025-06-23 07:00:00,1.2041,1.2142,1.1990,1.2024,1361620
2025-06-23 08:00:00,1.2025,1.2086,1.1953,1.2065,1030360
2025-06-23 09:00:00,1.2065,1.2116,1.2013,1.2097,1213956
2025-06-23 10:00:00,1.2097,1.2140,1.2030,1.2132,880442
2025-06-23 11:00:00,1.2132,1.2205,1.2085,1.2179,1088258
2025-06-23 12:00:00,1.2179,1.2334,1.2154,1.2264,1397697
2025-06-23 13:00:00,1.2265,1.2452,1.2085,1.2407,3052820
2025-06-23 14:00:00,1.2407,1.2483,1.2273,1.2298,2220368
2025-06-23 15:00:00,1.2298,1.2386,1.2218,1.2232,1159166
2025-06-23 16:00:00,1.2232,1.2246,1.1865,1.1935,3630976
2025-06-23 17:00:00,1.1935,1.2360,1.1894,1.2301,3862431
2025-06-23 18:00:00,1.2303,1.2507,1.2303,1.2489,1894320
2025-06-23 19:00:00,1.2489,1.2522,1.2387,1.2492,1385442
2025-06-23 20:00:00,1.2494,1.2714,1.2439,1.2603,2021163
2025-06-23 21:00:00,1.2603,1.2636,1.2557,1.2604,877896
2025-06-23 22:00:00,1.2604,1.2963,1.2604,1.2906,2856231
2025-06-23 23:00:00,1.2907,1.2950,1.2846,1.2853,1473971
2025-06-24 00:00:00,1.2854,1.2930,1.2820,1.2856,1224101
2025-06-24 01:00:00,1.2856,1.2878,1.2760,1.2795,1283698
2025-06-24 02:00:00,1.2794,1.2797,1.2668,1.2682,1166275
2025-06-24 03:00:00,1.2681,1.2749,1.2635,1.2649,795356
2025-06-24 04:00:00,1.2648,1.2684,1.2615,1.2676,680327
2025-06-24 05:00:00,1.2675,1.2923,1.2669,1.2923,1218121
2025-06-24 06:00:00,1.2923,1.2940,1.2833,1.2875,1007164
2025-06-24 07:00:00,1.2874,1.2937,1.2761,1.2792,1388917
2025-06-24 08:00:00,1.2791,1.2860,1.2696,1.2853,1317652
2025-06-24 09:00:00,1.2853,1.2938,1.2791,1.2848,1315374
2025-06-24 10:00:00,1.2848,1.2878,1.2765,1.2791,899571
2025-06-24 11:00:00,1.2790,1.2798,1.2686,1.2710,993416
2025-06-24 12:00:00,1.2711,1.2821,1.2696,1.2815,829792
2025-06-24 13:00:00,1.2816,1.2896,1.2762,1.2845,1267399
2025-06-24 14:00:00,1.2844,1.2937,1.2800,1.2813,1309788
2025-06-24 15:00:00,1.2814,1.2883,1.2766,1.2858,1158543
2025-06-24 16:00:00,1.2858,1.3046,1.2786,1.3041,1320091
2025-06-24 17:00:00,1.3041,1.3055,1.2786,1.2835,1432509
2025-06-24 18:00:00,1.2835,1.2844,1.2658,1.2696,987229
2025-06-24 19:00:00,1.2696,1.2723,1.2567,1.2679,1198282
2025-06-24 20:00:00,1.2679,1.2735,1.2630,1.2732,690500
2025-06-24 21:00:00,1.2732,1.2835,1.2684,1.2809,621025
2025-06-24 22:00:00,1.2808,1.2810,1.2702,1.2773,689437
2025-06-24 23:00:00,1.2773,1.2847,1.2726,1.2842,512792
2025-06-25 00:00:00,1.2842,1.2842,1.2654,1.2728,962496
2025-06-25 01:00:00,1.2727,1.2776,1.2633,1.2712,754123
2025-06-25 02:00:00,1.2713,1.2798,1.2670,1.2696,860995
2025-06-25 03:00:00,1.2697,1.2794,1.2678,1.2734,741795
2025-06-25 04:00:00,1.2733,1.2752,1.2604,1.2658,875506
2025-06-25 05:00:00,1.2658,1.2678,1.2588,1.2609,688240
2025-06-25 06:00:00,1.2610,1.2659,1.2547,1.2641,766623
2025-06-25 07:00:00,1.2641,1.2742,1.2612,1.2669,636464
2025-06-25 08:00:00,1.2669,1.2679,1.2523,1.2603,1070723
2025-06-25 09:00:00,1.2603,1.2650,1.2495,1.2523,1108795
2025-06-25 10:00:00,1.2523,1.2575,1.2495,1.2565,743060
2025-06-25 11:00:00,1.2566,1.2638,1.2536,1.2619,757878
2025-06-25 12:00:00,1.2619,1.2649,1.2569,1.2611,665410
2025-06-25 13:00:00,1.2610,1.2747,1.2602,1.2702,1201778
2025-06-25 14:00:00,1.2703,1.2708,1.2434,1.2582,2059436
2025-06-25 15:00:00,1.2582,1.2592,1.2397,1.2412,1205505
2025-06-25 16:00:00,1.2410,1.2492,1.2320,1.2361,1167961
2025-06-25 17:00:00,1.2360,1.2551,1.2358,1.2436,1005218
